iter	Passed	Remaining
0	1	105
1	1	91
2	2	85
3	3	77
4	3	74
5	4	72
6	5	71
7	6	69
8	6	68
9	7	67
10	8	66
11	8	65
12	9	63
13	10	62
14	10	60
15	11	59
16	12	59
17	12	58
18	13	57
19	14	56
20	14	55
21	15	54
22	16	54
23	16	53
24	17	52
25	18	51
26	18	50
27	19	50
28	20	49
29	20	48
30	21	47
31	22	46
32	22	46
33	23	45
34	24	44
35	24	44
36	25	43
37	26	42
38	27	42
39	28	42
40	29	41
41	29	40
42	30	39
43	30	39
44	31	38
45	32	37
46	32	36
47	33	36
48	33	35
49	34	34
50	35	33
51	35	32
52	36	32
53	36	31
54	37	30
55	38	29
56	38	29
57	39	28
58	40	27
59	40	27
60	41	26
61	42	25
62	43	25
63	43	24
64	44	24
65	45	23
66	45	22
67	46	21
68	47	21
69	47	20
70	48	19
71	49	19
72	49	18
73	50	17
74	51	17
75	51	16
76	52	15
77	52	14
78	53	14
79	54	13
80	54	12
81	55	12
82	56	11
83	56	10
84	57	10
85	58	9
86	58	8
87	59	8
88	59	7
89	60	6
90	61	6
91	61	5
92	62	4
93	63	4
94	63	3
95	64	2
96	64	2
97	65	1
98	66	0
99	66	0
